Autor(a),ID Lattes do(a) autor(a),Orientadores,ID Lattes dos orientadores,Membros da banca,ID Lattes dos membros da banca,Título,Ano de defesa,Instituição de defesa,Sigla da instituição de defesa,País da instituição de defesa,Departamento da instituição de defesa,Programa de Pós-Graduação da instituição de defesa,Área do conhecimento CNPq,Tipos de acesso,Tipo de documento,Assuntos em português,Assuntos em inglês,Idioma,Resumo,Link de acesso,Identificador persistente ARK,Resumo em Inglês,Referência Bibliográfica
"Araujo, Emmanoella Costa Guaraná, 1986-",Não informado pela instituição,"Sanquetta, Carlos Roberto, 1964-||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Panorama do estoque de carbono florestal e matriz de emissões e remoções por diferentes usos do solo na Amazônia,2022,Universidade Federal do Paraná (UFPR),UFPR,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,Dióxido de carbono atmosférico - Amazônia||Biomassa florestal - Amazônia||Carbono - Medição||Biomassa florestal - Medição||Efeito estufa (Atmosfera)||Recursos Florestais e Engenharia Florestal||Solo - Uso - Amazônia,Não informado pela instituição,por,Orientador: Prof. Dr. Carlos Roberto Sanquetta,https://hdl.handle.net/1884/78168,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Almeida, Mateus Benchimol Ferreira de",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Métodos de sensoriamento remoto orbital para o diagnóstico e monitoramento dos níveis de degradação de pastagens tropicais: uma contribuição ao plano de agricultura de baixa emissão de carbono,2022,Universidade do Estado do Rio de Janeiro (UERJ),UERJ,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,Vegetation indices||Degradação ambiental - Valença (RJ)||Vegetação - Valença (RJ)||Senoriamento remoto - Valença (RJ)||Cerrados - Brasil||Sentinel-2||Sentinel-1||Índices de vegetação||NCI||CIENCIAS EXATAS E DA TERRA::GEOCIENCIAS::GEOFISICA,Não informado pela instituição,por,"presente pesquisa científica objetivou avaliar diferentes métodos, índices de vegetação e texturas em contribuição ao desenvolvimento de uma metodologia de mapeamento e monitoramento dos diferentes níveis de degradação das pastagens, com base em técnicas de Sensoriamento Remoto e Processamento Digital de Imagens dos satélites Sentinel-2 e Sentinel-1, além de outros produtos satelitários. O estudo foi conduzido especificamente no município de Valença/RJ e arredores, no bioma da Mata Atlântica, onde foram obtidos pontos de campo georreferenciados com as suas respectivas classes atribuídas (N1, N2N3, N4), bem como na região do bioma Cerrado, onde os pontos de campo georreferenciados e os atributos associados foram obtidos por cortesia do LAPIG/MapBiomas. Este conjunto de dados foi classificado por um método de classificação supervionada denominado random forest, que por sua vez, é um algoritmo de inteligência artificial e aprendizado de máquina que usa diferentes árvores de decisão para a rotulação dos pixels no processo de classificação. O processamento principal dos dados foi realizado no Google Earth Engine, porém o processamento auxiliar, que favoreceu sobremaneira o processamento principal, foi realizado no R. O índice de vegetação mais importante foi o NCI, no entanto, por si só, não garantiu uma acurácia satisfatória, sendo necessário adicionar outros produtos de sensoriamento remoto para este fim. Também objetivou-se estimar as proporções dos elementos presentes na composição das pastagens nos seus diferentes níveis de degradação (N1, N2N3 e N4), com base na Análise de Mistura Espectral (AME) e nas imagens-fração VNFA (Vegetação Não Fotossinteticamente Ativa), VFA (Vegetação Fotossinteticamente Ativa), SE (Solo Exposto) e Sombra advindas da AME tanto para a época úmida quanto para a época seca. Com base nestas imagens-fração foi possível realizar mais uma vez a classificação random forest dos diferentes níveis de degradação das pastagens de todo o bioma Cerrado. Para a estimativa das proporções VNFA, VFA, SE e Sombra foi necessário aplicar a Análise pró Componentes Principais (ACP) antes da AME com a finalidade de reduzir a correlação entre as bandas puras do Sentinel-2, ainda assim, só foi possível estimar as proporções na estação úmida. Os resultados obtidos com base nas metodologias propostas e no controle estatístico dos dados (acurácias) permitem deduzir que ambas são robustas, eficientes e eficazes na separabilidade dos diferentes níveis de degradação das pastagens (N1, N2N3 e N4) tanto da Mata Atlântica (município de Valença/RJ e arredores) quanto do bioma Cerrado","ALMEIDA, Mateus Benchimol Ferreira de. Métodos de sensoriamento remoto orbital para o diagnóstico e monitoramento dos níveis de degradação de pastagens tropicais: uma contribuição ao plano de agricultura de baixa emissão de carbono. 2022. 156 f. Tese (Doutorado em Meio Ambiente) - Universidade do Estado do Rio de Janeiro, Rio de Janeiro, 2022 .||http://www.bdtd.uerj.br/handle/1/20404",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Iamin, Giovana Signori",Não informado pela instituição,"Santos, Alexandre Ferreira||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Caracterização e modelagem de bionanocompósitos para separação de CO2 no processamento de gás natural utilizando técnicas de aprendizagem de máquina,2023,Universidade Federal do Paraná (UFPR),UFPR,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Gas natural||Aprendizado do computador||Dioxido de carbono||Tecnologia Química,Não informado pela instituição,por,Orientador: Prof. Dr. Alexandre Ferreira Santos,https://hdl.handle.net/1884/84982,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Gomes, Leticia Dias",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Análise comparativa de etiquetagens de eficiência energética de edificações residenciais modernas de Joinville-SC através da simulação computacional e método prescritivo,2021,Universidade do Estado de Santa Catarina (UDESC),UDESC,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Engenharia civil||Simulação (Computadores)||Arquitetura e conservação de energia,Não informado pela instituição,por,"O desempenho energético se torna, a cada dia, mais significativo no âmbito da construção civil, destacando que as edificações residenciais podem consumir até 40% da energia produzida no planeta, podendo ser agravada pela maior utilização de equipamentos eletrônicos pelos usuários. Melhores performances energéticas podem constituir um forte indicador de desenvolvimento econômico e qualidade de vida, sendo embasada pela busca de elementos construtivos que garantam um melhor desempenho das edificações. Cabe destaque, neste sentido, ao movimento moderno da arquitetura, surgido entre os anos de 1920 e 1930 no Brasil, que tem entre seus princípios a correta adequação da edificação ao meio e uso de estratégias passivas de conforto, como brises, cobogós e pérgolas, mas que perdeu forças ao longo dos anos principalmente ocasionado pelas prioridades construtivas como o tempo e custo de produção. Para certificar uma edificação como eficiente energeticamente, existem diversas metodologias, como o selo do RTQ-r, amplamente difundido em território nacional, mas que não representa de forma precisa o comportamento de uma edificação perante sua envoltória. De modo que se produza análises e resultados mais realistas e abrangentes, a simulação computacional é recomendada. Nesta pesquisa, o principal objetivo é realizar a análise comparativa de etiquetagens de eficiência energética de um conjunto de edificações residenciais Modernas da cidade de Joinville, provenientes do estudo de Mendes (2018), através do método de simulação computacional e prescritivo, ampliando o banco de dados pela modelagem virtual, comparando e verificando pelos índices que compõem os parâmetros dos instrumentos reguladores em questão. Ao final do procedimento, 66,67% das etiquetagens tiveram sua pontuação aumentada, enquanto 11,11% sofreram redução e 22,22% mantiveram a mesma pontuação. A etiquetagem do conjunto é estabelecida como “C”, com um consumo médio de refrigeração de 31,49 kWh/m².ano. Percebe-se que os métodos podem ou não conduzir a resultados equivalentes, mas que a análise integrada de energia com apoio do BIM forneceu resultados mais amplos e precisos sobre a performance energética de cada residência. Coube destaque a necessidade de olhar para a produção moderna da arquitetura em Joinville entre 1970 e 1990, que se encontra muito mais que um estilo a ser revivido, mas um modo de concepção formal, que conseguia abranger através da forma e função, práticas eficazes e determinantes na promoção da sustentabilidade e ganhos energéticos.","GOMES, Leticia Dias. <b>Análise comparativa de etiquetagens de eficiência energética de edificações residenciais modernas de Joinville-SC através da simulação computacional e método prescritivo</b>. 2025. Dissertação (Curso de Engenharia Civil) - Udesc, 2021. Disponível em: https://repositorio.udesc.br/handle/UDESC/15294. Acesso em: insira aqui a data de acesso ao material. Ex: 18 fev. 2025.||https://repositorio.udesc.br/handle/UDESC/15294",ark:/33523/0013000003k2t,Não informado pela instituição,Não informado pela instituição
"Almeida, Thamires Campos de",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"Relação entre diversidade de espécies, estoque de carbono e variáveis climáticas em sistemas agroflorestais na Amazônia: uma metanálise",2022,Universidade Federal de Viçosa (UFV),UFV,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Agrossilvicultura - Amazônia||Biodiversidade - Amazônia||Mudanças climáticas||Silvicultura,Não informado pela instituição,por,"A Amazônia apresenta um dos maiores reservatórios de biodiversidade e carbono (C) do planeta. No entanto, devido às alterações no uso do solo e mudanças climáticas, o equilíbrio desse ecossistema vem sendo fortemente perturbado, sendo importante desenvolver mecanismos que propiciem a redução do desmatamento na região e mitigação das mudanças no clima. Nesse sentido, os sistemas agroflorestais (SAFs) são estratégicos, visto as importantes funções ambientais que exercem, como o incremento da biodiversidade e promoção de serviços ecossistêmicos. Entretanto, pouco se sabe a respeito dos efeitos de variáveis climáticas no armazenamento de carbono nos SAFs, bem como dos padrões referentes aos cobenefícios da relação diversidade-estoque de carbono. Portanto, objetivou-se realizar uma metanálise para avaliar a relação entre riqueza de espécies e estoque de carbono de sistemas agroflorestais em áreas de domínio amazônico, bem como a influência do clima sobre o estoque de C. Para isso, foi realizada extensa revisão de literatura em bancos de dados abrangentes, com o intuito de selecionar artigos científicos publicados nas últimas três décadas. Foram incluídos nessa pesquisa estudos que se enquadraram em todos os critérios predeterminados. Vinte e duas variáveis climáticas padronizadas foram obtidas para todos os locais de estudo. Para avaliar a normalidade dos dados utilizou-se o Teste de Shapiro-Wilk, e para comparar os valores médios entre tipos de sistemas agroflorestais (simples e complexos) o Teste de Mann-Whitney. As variáveis climáticas foram resumidas através da análise de componentes principais, sendo as mais explicativas selecionadas através da análise de correlação de Pearson. Modelos lineares de efeitos mistos foram usados para testar os efeitos do clima sobre o estoque carbono, assim como a relação riqueza-estoque de carbono. Para selecionar a função de ligação mais adequada, foi realizado o diagnóstico dos modelos a partir do teste da distribuição gaussiana dos erros e verificação das distribuições de resíduos, utilizando o gráfico Q-Q. Para realizar as análises foram usados diferentes pacotes no Rstudio. As médias para a riqueza de espécies dos SAFs complexos e simples foram de 13,66 e 2,88 espécies, respectivamente. Para o estoque de carbono, os SAFs complexos apresentaram valor médio de 55,05 Mg/ha e os simples 36,21 Mg/ha. Entretanto, não houve diferença significativa entre os tipos de SAFs em relação ao estoque de carbono. Dentre as principais variáveis climáticas selecionadas como importantes preditores, apenas o intervalo diurno médio possuiu efeito significativo no estoque de carbono, sendo este negativo. Houve significativa relação positiva de cobenefício entre a riqueza de espécies e o armazenamento de carbono acima do solo, onde a riqueza foi a variável que mais explicou a variação do estoque de carbono nos SAFs. Dessa maneira, foi possível concluir que os sistemas agroflorestais, sobretudo os SAFs complexos, possuem destacado potencial para a conservação da biodiversidade e mitigação das mudanças climáticas de forma simultânea na região amazônica. Palavras-chave: Floresta Amazônica. Agrossilvicultura. Biodiversidade. Serviços ecossistêmicos. Cobenefícios. Mudanças climáticas.","ALMEIDA, Thamires Campos de. Relação entre diversidade de espécies, estoque de carbono e variáveis climáticas em sistemas agroflorestais na Amazônia: uma metanálise. 2022. 53 f. Dissertação (Mestrado em Ciência Florestal) - Universidade Federal de Viçosa, Viçosa. 2022.||https://locus.ufv.br//handle/123456789/30663||https://doi.org/10.47328/ufvbbt.2022.771",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
Wellington de Oliveira Avelino,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Implementação de redes neurais por pulsos a partir de sinapses memristivas,2022,Universidade Federal de Minas Gerais (UFMG),UFMG,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,Inteligência artificial||Sistemas neuromórficos||Memristores||Redes neurais por pulsos||Treinamento local||Transportadores de corrente de segunda geração||Engenharia elétrica||Inteligência artificial||Redes neurais (Computação),Não informado pela instituição,por,"Artificial intelligence (AI) applications are increasingly present and necessary, especially neural networks (NN). The limited scalability of CMOS (complementary metal-oxide-semiconductor) technology and the increasing computational complexity of these applications require more energy efficiency and scalable hardware implementations. The main computational primitives of NNs are multiply-and-accumulate operations that lead to a significant data movement between memory and processing unit on von Neumann-based computational architectures. A promising alternative is the mimicry of event-based computing, as in neuromorphic systems, co-locating memory and processing. New neurologic-inspired circuit elements represent a new alternative to achieve the much-desired computational efficiency of the brain, among them, a series of nanoscale devices, known as memristors, were proposed to be used as fundamental elements in the creation of artificial synapses and neurons. In this scenario, the efforts of this work aim to boost the implementation of memristor-based spiking neural networks (SNN) to technological maturity. This thesis focuses on constructive aspects of networks, highlighting methodologies for network element coupling, establishing satisfactory conditions to maximize efficiency in information processing and implementation of local training techniques. For this purpose, a testing platform and a graphical user interface environment were specially developed for a demonstration of a fully hardware neural network based on memristive synapses, neuron circuits from NDR devices (negative differential resistance) and complementary circuits. In addition, prototypical experiments were demonstrated to validate inference and learning in neural networks from these components.",http://hdl.handle.net/1843/52456||https://orcid.org/0000-0002-9273-9827,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Silva, Lesley Toledo",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"Aplicações das metodologias CTS e TDIC em discussão de tópicos de geração de energia e circuitos elétricos, através do efeito fotovoltaico, em turmas de ensino médio",2025,Universidade Federal Fluminense (UFF),UFF,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,"Radiação do corpo negro||Efeito fotoelétrico||Efeito fotovoltaico||Primeira lei do Ohm||Potência elétrica||Consumo de energia elétrica||CTS||TDIC||Energia elétrica||Consumo de energia elétrica||Ensino médio||Blackbody radiation||Photoelectric effect||Photovoltaic effect||Ohm’s first law||Electrical power||Electrical energy consumption||STS (Science, Technology, and Society)||ICTs (Information and Communication Technologies)",Não informado pela instituição,por,"O trabalho apresentado tem como objetivo fornecer aos estudantes uma compreensão abrangente de conceitos tanto da física moderna, da radiação do corpo negro, efeito fotoelétrico e efeito fotovoltaico, quanto do eletromagnetismo, da primeira lei de Ohm, da potencia elétrica e do consumo de energia elétrica. Utilizando metodologias como o CTS (Ciência,Tecnologia e Sociedade), para nortear pesquisas e discussões sobre a geração de energia elétrica no Brasil, o trabalho visa promover um pensamento crítico sobre a geração de energia sustentável. Alem disso, por meio das TDICs (Tecnologias Digitais da Informação e Comunicação), utilizando plataformas e simuladores digitais que demonstram os fenômenos físicos de forma mais concreta, busca-se desenvolver nos estudantes habilidades para construir e gerenciar seu próprio conhecimento científico. Essa abordagem diferenciada não só proporciona aulas mais dinâmicas e atrativas para os alunos, mas também oferece aos professores novas maneiras de abordar os conceitos da física. O produto educacional foi dividido em três etapas: a primeira através de pesquisas e discussões que fazem o levantamento sobre a geração de energia no país com ênfase na geração de energia fotovoltaica e a apresentação de tópicos de física moderna e contemporânea, a segunda com a apresentação dos conteúdos do eletromagnetismo dando ênfase na resistência elétrica, a primeira lei de Ohm e a potência elétrica e, na terceira parte, finalizando os encontros com a apresentação das TDICs com o simulador PHET e a plataforma TINKERCAD e o manuseio do experimento físico. Após a aplicação do produto educacional, houve a percepção de que a proposta alcançou seu objetivo, destacando que mesmo com a maioria dos estudantes apresentando bom interesse, participação e retenção do conhecimento, ainda temos alguns alunos que, ou não se dedicaram ou utilizaram recursos como a IA (inteligência artificial) para responder questões que visam percepções pessoais sobre a proposta. Esse é um exemplo de como a tecnologia pode ao mesmo tempo proporcionar grandes avanços na área da educação e ser um obstáculo devido ao seu mau uso. A abordagem proporcionou aulas mais dinâmicas e atrativas para os alunos junto com diferentes maneiras de abordar os conceitos da física","SILVA, Lesley Toledo. Aplicações das metodologias CTS e TDIC em discussão de tópicos de geração de energia e circuitos elétricos, através do efeito fotovoltaico, em turmas de ensino médio. 2024. 138 f. Dissertação (Mestrado Nacional Profissional em Ensino de Física) - Instituto de Ciências Exatas, Universidade Federal Fluminense, Volta Redonda, 2024.||https://app.uff.br/riuff/handle/1/39735",ark:/87559/001300001c26b,Não informado pela instituição,Não informado pela instituição
"Rodrigues, Fabrício Alves",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"Análise do uso de satélites ópticos no mapeamento de clareiras sob manejo florestal, a partir de técnicas de classificação em inteligência artificial (machine learning) na Floresta Nacional de Altamira",2024,Universidade de Brasília (UnB),UNB,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Manejo florestal||Aprendizado de máquina,Não informado pela instituição,por,"Dissertação (mestrado) - Universidade de Brasília, Instituto de Ciências Humanas, Departamento de Geografia, Programa de Pós-Graduação em Geografia, 2024.","RODRIGUES, Fabrício Alves. Análise do uso de satélites ópticos no mapeamento de clareiras sob manejo florestal, a partir de técnicas de classificação em inteligência artificial (machine learning) na Floresta Nacional de Altamira. 2024. 122 f., il. Dissertação (Mestrado em Geografia) - Universidade de Brasília, Brasília, 2024.||http://repositorio.unb.br/handle/10482/48220",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Dantas, Daniel",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Modeling and spatial analysis of carbon stock and forest attributes using mixed-effects models and artificial intelligence techniques,2022,Universidade Federal de Lavras (UFLA),UFLA,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,Redes neurais artificiais||Máquina de vetor de suporte||Modelos não-lineares||Modelos de efeitos mistos||Geoestatística||Artificial neural networks||Support vector machine||Nonlinear models||Mixed models||Geostatistics||Recursos Florestais e Engenharia Florestal,Não informado pela instituição,eng,"Forests provide numerous ecosystem services, such as regulation of biogeochemical cycles, pollution control, food supply and the sequestration and storage of atmospheric carbon. These services are crucial, as they act directly in the mitigation of global warming and are of strategic importance in mitigating climate change. In this context, the quantification of the carbon stock present in the most varied types of forests constitutes an important tool for monitoring this ecosystem service. The estimation of carbon stock by indirect methods makes use of modeling and simulation techniques. Historically, the modeling of forest attributes has relied on approaches based on statistical models. These approaches now share space with computational approaches of artificial intelligence/machine learning, such as artificial neural networks, support vector machines, decision trees, among others, which have been gaining ground as tools for forest data analysis, modeling, estimation of variables and production prognosis. These tools have provided gains in the quality of estimates and predictions. In this work, we analyzed the spatial distributions of the carbon stock in a tropical forest and evaluated the performance of models extracted from artificial intelligence techniques to model the carbon stock in tropical forests; in addition to the use of artificial intelligence and mixed models with the adoption of a structure in the variance and covariance matrix for volumetric estimates. The total estimated carbon stock was 267.52 Mg·ha-1 , of which 35.23% was in aboveground biomass, 63.22% in soil, and 1.54% in roots. In the soil, a spatial pattern of the carbon stock was repeated at all depths analyzed, with a reduction in the amount of carbon as the depth increased. The carbon stock of the trees followed the same spatial pattern as the soil, indicating a relationship between these variables. In the fine roots, the carbon stock decreased with increasing depth, but the spatial gradient did not follow the same pattern as the soil and trees, which indicated that the root carbon stock was most likely influenced by other factors. The techniques performed satisfactorily in modeling, with homogeneous distributions and low dispersion of residuals. The quality analysis criteria indicated the superior performance of the mixed model with a Huynh- Feldt structure of the variance and covariance matrix, which showed a decrease in mean relative error from 13.52% to 2.80%, whereas machine learning techniques had error values of 6.77% (SVM) and 5.81% (ANN). This study confirms that although fixed-effects models are widely used in the Brazilian forest sector, there are more effective methods for modeling dendrometric variables.","DANTAS, D. Modeling and spatial analysis of carbon stock and forest attributes using mixed-effects models and artificial intelligence techniques. 2022. 110 p. Tese (Doutorado em Engenharia Florestal) - Universidade Federal de Lavras, Lavras, 2022.||https://repositorio.ufla.br/handle/1/50863",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"COSTA JUNIOR, Antônio Carlos Dantas da",http://lattes.cnpq.br/7095049229190359,"AGUIAR, Ponciana Freire de||Não informado pela instituição",http://lattes.cnpq.br/6520306050708912||Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,O Uso das ferramentas TDIC no processo de ensino: um estudo aplicado no IFPA Campus Castanhal,2024,Universidade Federal do Pará (UFPA),UFPA,Brasil,Núcleo de Altos Estudos Amazônicos,Programa de Pós-Graduação em Desenvolvimento Sustentável do Trópico Úmido,CNPQ::CIENCIAS SOCIAIS APLICADAS::ECONOMIA::ECONOMIA AMBIENTAL::ECONOMIA DOS RECURSOS NATURAIS,openAccess,masterThesis,Educação||Tecnologias digitais de Informação e Comunicação||Processo pedagógico||Gestão institucional,Não informado pela instituição,por,"As Tecnologias Digitais de Informação e Comunicação são ferramentas inovadoras que podem auxiliar no desenvolvimento da educação. Entretanto, sua efetiva implementação requer compreensão e qualificação do seu uso, além do investimento e ampliação do acesso aos equipamentos e internet. A sua utilização emergencial durante a pandemia pode servir de elemento de análise para sua efetivação no cotidiano da educação. O estudo tem como objetivo investigar a utilização das Tecnologias Digitais de Informação e Comunicação no Instituto Federal do Pará - Campus Castanhal como ferramenta para o ensino remoto. A pesquisa, em termos de metodologia foi do tipo exploratório-descritiva. Em relação aos procedimentos, configurou-se como uma revisão bibliográfica e documental, tendo também a pesquisa de campo. Quanto à abordagem e análise, conjugou-se os métodos quantitativo e qualitativo (método misto). A pesquisa de campo foi realizada no Instituto Federal - campus Castanhal, estado do Pará. As respostas qualiquantitativas proporcionaram as principais categorias de análise para este estudo, destacando diversos impactos decorrentes da transição do ensino presencial para o remoto durante a pandemia. O estudo identificou barreiras, limites e potencialidades na prática pedagógica e de gestão, destacando rigidez na formação e práticas em relação à dinamicidade do mundo. Evidenciou a importância de capacitar profissionais da educação para emergências, incluindo crises de saúde, climáticas, guerras e socioeconômicas. A desigualdade socioeconômica dos alunos, especialmente em comunidades remotas, é uma barreira ampliada pela falta de acesso às tecnologias. As Tecnologias Digitais de Informação e Comunicação, podem ser aliadas, porém devem ser ferramentas e não protagonistas das relações humanas que fortalecem os processos educativos. O estudo ressaltou que as tecnologias, quando adequadamente utilizadas, são auxiliares valiosas para a educação, para mitigar as desigualdades socioeconômica e territorial, especialmente na região amazônica e para efetivamente fomentar a educação democrática. Políticas públicas precisam incluir o acesso à tecnologia, bem como, mudanças na formação e capacitação de professores e gestores são essenciais, sendo responsabilidades também da governabilidade e investimentos públicos.",https://repositorio.ufpa.br/jspui/handle/2011/17044,Não informado pela instituição,Não informado pela instituição,"COSTA JUNIOR, Antônio Carlos Dantas da. O Uso das ferramentas TDIC no processo de ensino: um estudo aplicado no IFPA Campus Castanhal. Orientadora: Ponciana Freire de Aguiar. 2024. 99 f. Dissertação (Mestrado em Gestão Pública) - Núcleo de Altos Estudos Amazônicos, Universidade Federal do Pará, Belém, 2024. Disponível em: https://repositorio.ufpa.br/jspui/handle/2011/17044. Acesso em:."
"Neumann, Morgana",Não informado pela instituição,"Cornelli, Renata||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Elaboração de um banco de dados de gerenciamento de resíduos da construção civil: estudo de caso na rede hoteleira de Gramado/RS,2021,Universidade de Caxias do Sul (UCS),UCS,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Construção civil - Eliminação de resíduos||Banco de dados||Hotéis - Gramado (RS),Building - Waste disposal||Databases||Hotels - Gramado (Brazil),eng||por,"O acelerado crescimento demográfico, o aumento no poder aquisitivo da população e o desenvolvimento das cidades, contribuem para que o setor da construção seja responsável por grande parte dos impactos causados ao meio ambiente. Além de consumir energia e recursos naturais não renováveis, altera a paisagem e gera grande volume de resíduos, reflexos de um gerenciamento ineficiente. O objetivo do trabalho é elaborar um banco de dados de gerenciamento de resíduos da construção civil para a rede hoteleira de Gramado/RS, direcionado aos empreendedores e consultores ambientais. Os dados necessários para o banco de dados foram coletados em 04 empreendimentos hoteleiros em construção localizados em Gramado/RS, por meio do preenchimento de um checklist in loco. As informações sobre os resíduos gerados foram retiradas dos Manifestos de Transporte de Resíduos fornecidos pelas empresas e planilhados no Excel. Como resultados, os dados quantitativos de geração (total de 760,1718 t e 747,3 m³) e qualitativos de classificação dos resíduos demonstram que os resíduos Classe B foram os mais expressivos (726,2648 t e 460,4 m³), correspondendo a 95,53% e 61,60% da geração respectivamente, e classificação (11 de 23 resíduos). Quanto ao armazenamento e acondicionamento, os resíduos classe A são dispostos no solo, os Classe B e C em baias, bags e ou caixas com cobertura e identificados por cor e tipo e os Classe D conforme normas técnicas. Os resultados fornecem aos empreendedores subsídios para o gerenciamento sustentável dos resíduos e aos gestores ambientais dados próximos à realidade para a elaboração dos Planos de Gerenciamento de Resíduos. O eficiente gerenciamento do resíduo depende de corretas ações no canteiro de obras, visando não somente o ganho com o resíduo, mas também a redução de custos de destinação e tratamento através da reutilização e reciclagem, projetando sempre os eixos social, ambiental e econômico da sustentabilidade. [resumo fornecido pelo autor]",https://repositorio.ucs.br/11338/9655,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
